driver,lap_number,lap_time,position
63,34.0,70.335,14.0
63,35.0,70.261,14.0
63,36.0,69.901,14.0
63,37.0,70.22,14.0
63,38.0,70.025,14.0
63,39.0,71.19,15.0
63,40.0,70.457,15.0
63,41.0,70.014,15.0
63,42.0,69.693,15.0
63,43.0,69.888,15.0
63,44.0,69.317,15.0
63,45.0,,
8,1.0,81.365,18.0
8,2.0,73.534,18.0
8,3.0,72.183,18.0
8,4.0,71.576,18.0
8,5.0,71.829,18.0
8,6.0,71.868,18.0
8,7.0,71.904,18.0
8,8.0,72.008,18.0
8,9.0,71.437,3.0
8,10.0,71.377,1.0
8,11.0,71.224,1.0
8,12.0,71.554,1.0
8,13.0,71.526,1.0
8,14.0,71.243,1.0
8,15.0,85.87,2.0
8,16.0,92.297,2.0
8,17.0,72.924,2.0
8,18.0,74.399,2.0
8,19.0,71.061,2.0
8,20.0,91.223,2.0
8,21.0,95.554,2.0
8,22.0,104.706,1.0
8,23.0,92.143,1.0
8,24.0,71.366,1.0
8,25.0,71.083,1.0
8,26.0,71.07,1.0
8,27.0,70.909,1.0
8,28.0,71.264,1.0
8,29.0,70.376,1.0
8,30.0,70.726,1.0
8,31.0,72.43,1.0
8,32.0,70.681,1.0
8,33.0,70.403,1.0
8,34.0,70.94,1.0
8,35.0,70.567,1.0
8,36.0,70.342,1.0
8,37.0,70.339,1.0
8,38.0,70.305,1.0
8,39.0,70.36,1.0
8,40.0,70.476,1.0
8,41.0,70.228,1.0
8,42.0,70.261,1.0
8,43.0,71.175,1.0
8,44.0,126.287,2.0
20,1.0,79.587,13.0
20,2.0,72.762,13.0
