driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Valtteri Bottas,20.0,91.909,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,21.0,92.938,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,22.0,92.544,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,23.0,92.075,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,24.0,91.832,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,25.0,92.044,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,26.0,92.192,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,27.0,92.697,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,28.0,92.31,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,29.0,90.976,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,30.0,90.544,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,31.0,90.437,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,32.0,90.071,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,33.0,110.959,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,34.0,90.998,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,35.0,90.966,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,36.0,90.912,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,37.0,90.606,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,38.0,91.014,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,39.0,90.997,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,40.0,90.612,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,41.0,90.627,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,42.0,90.477,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,43.0,90.672,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,44.0,89.765,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,45.0,89.814,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,46.0,89.944,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,47.0,90.929,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,48.0,90.026,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,49.0,90.554,2.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,50.0,92.282,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,51.0,93.333,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,52.0,95.416,3.0,70th Anniversary,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Charles Leclerc,1.0,100.456,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,2.0,94.324,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,3.0,93.93,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,4.0,93.672,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,5.0,93.703,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,6.0,93.392,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,7.0,93.191,9.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,8.0,93.057,8.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,9.0,92.831,8.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,10.0,93.132,8.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,11.0,92.946,8.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
