driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Sebastian Vettel,17.0,101.893,9.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,18.0,101.217,9.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,19.0,102.989,8.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,20.0,101.37,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,21.0,102.519,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,22.0,101.326,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,23.0,101.478,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,24.0,101.288,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,25.0,101.575,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,26.0,101.409,7.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,27.0,104.22,8.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,28.0,103.088,9.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,29.0,102.312,9.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,30.0,106.978,11.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,31.0,120.843,16.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,32.0,100.03,16.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,33.0,100.062,16.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,34.0,100.096,16.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,35.0,100.412,16.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,36.0,100.319,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,37.0,100.487,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,38.0,100.581,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,39.0,100.942,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,40.0,102.12,15.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,41.0,102.145,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,42.0,112.694,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,43.0,99.658,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,44.0,99.695,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,45.0,99.768,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,46.0,99.588,14.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
